Eglise La Louange,Rue Général Eenens 81,1030 BRUSSEL-SCHAARBEEK ,BRUSSEL-SCHAARBEEK,1030,Réseau Antioche,ARPEE
Eglise protestante baptiste La Fraternité,"Rue Ulens, 55",1080 BRUSSEL-SINT-JANS-MOLENBEEK ,BRUSSEL-SINT-JANS-MOLENBEEK,1080,Union des Baptistes en Belgique,ARPEE
Centro Evangélico Hispanoamérico Emanuel,"Rue Conraets, 11",1060 BRUSSEL-SINT-GILLIS ,BRUSSEL-SINT-GILLIS,1060,Assemblées de Dieu Francophones de Belgique,ARPEE
Assemblée de Dieu - Ministério Restauração,"Rue Berthelot, 106-108",1190 BRUSSEL-VORST ,BRUSSEL-VORST,1190,Onder de directe verantwoordelijkheid van de Uitvoerende Raad van de Federale Synode,ARPEE
Mission évangélique Eben-Ezer,"Rue Joseph Claes, 41",1060 BRUSSEL-SINT-GILLIS ,BRUSSEL-SINT-GILLIS,1060,Concertation des Églises Indépendantes,ARPEE
La Nouvelle Jérusalem,"Rue de Mérode, 210 B",1060 BRUSSEL-SINT-GILLIS ,BRUSSEL-SINT-GILLIS,1060,Église de Dieu en Belgique,ARPEE
Assemblée du Plein Evangile,"Rue Scailquin, 36",1210 BRUSSEL-SINT-JOOST-TEN-NODE ,BRUSSEL-SINT-JOOST-TEN-NODE,1210,Concertation des Églises Indépendantes,ARPEE
Philadelphia Church,"Rue Emile Wauters, 110",1020 BRUSSEL ,BRUSSEL,1020,Overleg van Autonome Evangelische Gemeenten,ARPEE
Association évangélique baptiste - Eglise protestante baptiste de Schaerbeek,Boulevard de la Cambre 46,1000 BRUSSEL ,BRUSSEL,1000,Concertation des Églises Indépendantes,ARPEE
Christengemeente De Smalle Weg,Laconiastraat 8,8000 BRUGGE ,BRUGGE,8000,Overleg van Autonome Evangelische Gemeenten,ARPEE
Destiny Christian Center,"Protestant Church, Place du Nouveau Marché aux Grains, 8",1000 BRUSSEL ,BRUSSEL,1000,Onder de directe verantwoordelijkheid van de Uitvoerende Raad van de Federale Synode,ARPEE
La Nouvelle Jérusalem,"Chaussée de Haecht, 296",1030 BRUSSEL-SCHAARBEEK ,BRUSSEL-SCHAARBEEK,1030,Église de Dieu en Belgique,ARPEE
Eglise Méthodiste Libre,"Avenue de Roodebeek, 151",1030 BRUSSEL-SCHAARBEEK ,BRUSSEL-SCHAARBEEK,1030,Free Methodist Church,ARPEE
Mission mondiale Evangile du Christ,Rue de Bonne 59 (2° étage),1080 BRUSSEL-SINT-JANS-MOLENBEEK ,BRUSSEL-SINT-JANS-MOLENBEEK,1080,Onder de directe verantwoordelijkheid van de Uitvoerende Raad van de Federale Synode,ARPEE
Evangelische Kerk Bethel,Haachtsesteenweg 403,1030 BRUSSEL-SCHAARBEEK ,BRUSSEL-SCHAARBEEK,1030,Vrije Evangelische Gemeenten,ARPEE
Eglise apostolique évangélique,"Chaussée d'Alsemberg, 990",1180 BRUSSEL-UKKEL ,BRUSSEL-UKKEL,1180,Église Apostolique,ARPEE
Eglise Méthodiste Libre,"Chaussée d'Alsemberg, 877",1180 BRUSSEL-UKKEL ,BRUSSEL-UKKEL,1180,Free Methodist Church,ARPEE
Eglise Evangélique d'Uccle,"Chaussée d'Alsemberg, 877",1180 BRUSSEL-UKKEL ,BRUSSEL-UKKEL,1180,Eglise Protestante Unie de Belgique,ARPEE
Eglise protestante unie de Belgique,"Avenue des Cailles, 131",1170 BRUSSEL-WATERMAAL-BOSVOORDE ,BRUSSEL-WATERMAAL-BOSVOORDE,1170,Eglise Protestante Unie de Belgique,ARPEE
